,Year Built,Length,Width,Price,# Views,clusters,cluster
0,1992.0,7.7,2.46,14900,3263,0,pink
1,1979.0,11.12,3.88,35000,2432,0,pink
2,2002.0,12.35,3.48,125900,2261,0,pink
3,2009.0,20.3,5.2,949000,2154,0,pink
4,1993.0,6.14,2.34,19900,2026,0,pink
5,2014.0,6.65,2.3,48500,1970,0,pink
6,1980.0,6.0,2.1,4999,1917,0,pink
7,2005.0,6.4,2.31,36000,1834,0,pink
8,1995.0,6.8,2.38,6500,1831,0,pink
9,1980.0,6.2,2.45,3800,1804,0,pink
10,2016.0,13.15,3.96,350000,1780,0,pink
11,2020.0,9.31,2.99,159359,1710,0,pink
12,2019.0,3.35,9.95,209000,1700,0,pink
13,2006.0,10.7,3.65,139000,1621,0,pink
14,2010.0,13.86,3.98,339000,1461,0,pink
15,1977.0,11.7,3.25,65000,1449,0,pink
16,2020.0,6.28,2.24,26800,1430,0,pink
17,2009.0,12.0,3.6,119000,1414,0,pink
18,1990.0,10.04,3.42,55000,1386,0,pink
19,2007.0,7.25,2.57,37000,1351,0,pink
20,1994.0,9.9,3.45,95000,1319,0,pink
21,1974.0,7.2,2.7,5000,1299,0,pink
22,2020.0,6.19,2.46,37625,1272,0,pink
23,1936.0,10.2,2.2,60000,1236,0,pink
24,2004.0,14.76,4.2,199999,1230,0,pink
25,1987.0,3.95,1.55,7200,1201,0,pink
26,2010.0,11.7,3.66,220000,1153,0,pink
27,1996.0,8.05,2.59,28000,1136,0,pink
28,1989.0,9.37,3.3,37500,1128,0,pink
29,2001.0,20.0,5.0,65000,1119,0,pink
30,2005.0,6.32,2.36,56900,1119,0,pink
31,1987.0,6.3,2.44,4900,1116,0,pink
32,2006.0,15.79,4.5,295000,1107,0,pink
33,1978.0,7.2,2.95,12000,1101,0,pink
34,1994.0,5.51,2.21,10900,1057,0,pink
35,1983.0,9.3,3.2,59000,1054,0,pink
36,1996.0,5.5,2.0,7999,1049,0,pink
37,1989.0,8.5,2.55,33000,1033,0,pink
38,1998.0,5.9,2.32,19500,1028,0,pink
39,2012.0,7.01,2.54,69000,1019,0,pink
40,2012.0,7.6,2.6,46000,1019,0,pink
41,1980.0,9.7,2.7,18000,1019,0,pink
42,2005.0,6.85,2.46,50000,1017,0,pink
43,2015.0,9.02,2.98,89900,1014,0,pink
44,2020.0,54.4,9.6,31000000,1009,1,purple
45,1975.0,4.38,1.7,5250,997,0,pink
46,2006.0,13.4,4.28,100000,991,0,pink
47,2000.0,6.4,2.34,18000,990,0,pink
48,2010.0,41.1,8.4,5900000,986,2,dark purple
49,2002.0,6.3,2.25,29500,973,0,pink
50,1996.0,14.95,4.3,825000,961,0,pink
51,2007.0,6.06,2.2,59000,920,0,pink
52,1984.0,5.9,2.12,79000,917,0,pink
53,2006.0,9.3,2.98,58000,917,0,pink
54,2004.0,6.94,2.27,38000,915,0,pink
55,2014.0,15.85,4.7,950000,912,0,pink
56,2019.0,7.5,2.59,129800,908,0,pink
57,1940.0,12.5,2.5,10000,900,0,pink
58,2020.0,7.16,2.59,105000,899,0,pink
59,1992.0,8.6,2.8,25900,896,0,pink
60,1972.0,11.31,3.6,58000,892,0,pink
61,2020.0,6.6,1.85,25000,888,0,pink
62,1995.0,6.14,2.47,14950,888,0,pink
63,2012.0,8.2,2.36,35900,885,0,pink
64,1995.0,7.01,2.59,33900,885,0,pink
65,2009.0,6.6,2.54,49000,883,0,pink
66,2011.0,6.25,2.41,34950,879,0,pink
67,1967.0,5.7,2.2,78000,875,0,pink
68,2020.0,4.8,1.9,9265,873,0,pink
69,2010.0,10.0,3.0,80000,870,0,pink
70,1998.0,7.5,2.59,38500,870,0,pink
71,2004.0,14.76,4.2,220000,869,0,pink
72,2016.0,19.5,5.1,1020000,869,0,pink
73,1901.0,11.0,3.0,89000,868,0,pink
74,2015.0,6.19,2.48,24500,867,0,pink
75,1980.0,7.26,2.9,7000,866,0,pink
76,1989.0,7.8,2.85,18000,866,0,pink
77,1992.0,7.0,2.43,23000,863,0,pink
78,2016.0,6.75,2.5,63800,860,0,pink
79,2019.0,5.95,2.3,45553,859,0,pink
80,2006.0,6.96,2.55,29900,851,0,pink
81,1974.0,5.4,1.67,3800,849,0,pink
82,1996.0,10.0,3.3,86000,832,0,pink
83,1988.0,9.75,2.84,16000,829,0,pink
84,2017.0,7.01,2.59,95000,826,0,pink
85,1995.0,7.0,2.4,12500,826,0,pink
86,2009.0,6.7,2.44,29999,811,0,pink
87,1985.0,10.8,2.6,49900,810,0,pink
88,1998.0,10.1,3.45,179000,806,0,pink
89,2011.0,8.25,2.56,95000,801,0,pink
