,Category,Manufacturer,Specifications,Year Built,Year Built Condition,Length,Length Condition,Width,Width Condition,Material,Price,Price Condition,Currency,Country,State/Region,Location,# Views,Views Condition
0,Motor Yacht,Bayliner Power Boats,"Used Boat, Unleaded",1992.0,Old,7.7,Medium,2.46,Narrow,Plastic,14900,Low-value product,CHF,Switzerland,Le Landeron ,,3263,High Views
1,Hardtop,Princess Power Boats,"Used Boat, Diesel",1979.0,Old,11.12,Medium,3.88,Medium,GRP,35000,Low-value product,CHF,Switzerland,Neuenburgersee,Hauterive,2432,High Views
2,Bowrider,Windy Power Boats,"Used Boat, Diesel",2002.0,Mid,12.35,Medium,3.48,Medium,GRP,125900,Mid-value product,CHF,Switzerland,Lago Maggiore,6600 Locarno ,2261,High Views
3,Hardtop,Pershing Power Boats,"Used Boat, Diesel",2009.0,Mid,20.3,Long,5.2,Wide,GRP,949000,High-value product,EUR,Germany,Baltic Sea,Neustadt In Holstein,2154,High Views
4,Sport Boat,Sea Ray Power Boats,"Used Boat, Unleaded",1993.0,Old,6.14,Short,2.34,Narrow,Plastic,19900,Low-value product,CHF,Switzerland,Murtensee,Avenches,2026,High Views
5,Cabin Boat,Viper Power Boats,"Used Boat, Unleaded",2014.0,New,6.65,Short,2.3,Narrow,GRP,48500,Mid-value product,CHF,Switzerland,Horn ,,1970,High Views
6,,Tullio Abbate Power Boats,"Used Boat, Unleaded",1980.0,Old,6.0,Short,2.1,Narrow,GRP,4999,Low-value product,CHF,Switzerland,Lake Of Zurich,Rafz,1917,High Views
7,Sport Boat,Correct Craft Power Boats,"Used Boat, Unleaded",2005.0,Mid,6.4,Short,2.31,Narrow,GRP,36000,Low-value product,CHF,Switzerland,Lago Maggiore,Ticino,1834,High Views
8,Sport Boat,Baha Power Boats,"Used Boat, Unleaded",1995.0,Old,6.8,Short,2.38,Narrow,GRP,6500,Low-value product,CHF,Switzerland,Thun,,1831,High Views
9,Cabin Boat,Draco Power Boats,"Used Boat, Unleaded",1980.0,Old,6.2,Short,2.45,Narrow,GRP,3800,Low-value product,CHF,Switzerland,Walensee,Walenstadt,1804,High Views
10,Motor Yacht,Bénéteau Power Boats,"Used Boat, Diesel",2016.0,New,13.15,Medium,3.96,Medium,GRP,350000,High-value product,CHF,Switzerland,Lake Geneva,Vevey ,1780,High Views
11,Sport Boat,Bavaria Power Boats,"New Boat From Stock, Unleaded",2020.0,New,9.31,Medium,2.99,Medium,GRP,159359,Mid-value product,CHF,Switzerland,Lake Constance,Romanshorn,1710,High Views
12,Hardtop,Bénéteau Power Boats,"Display Model, Diesel",2019.0,New,3.35,Short,9.95,Wide,GRP,209000,Mid-value product,EUR,Germany,Baden-Württemberg,Mannheim ,1700,High Views
13,Motor Yacht,De Boarnstream Power Boats,"Used Boat, Diesel",2006.0,Mid,10.7,Medium,3.65,Medium,Steel,139000,Mid-value product,EUR,Germany,Mosel,Rheinland Pfalz,1621,High Views
14,Hardtop,Princess Power Boats,"Used Boat, Diesel",2010.0,New,13.86,Medium,3.98,Medium,GRP,339000,High-value product,EUR,Croatia,Krk,,1461,High Views
15,,,"Used Boat, Diesel",1977.0,Old,11.7,Medium,3.25,Medium,Steel,65000,Mid-value product,CHF,Switzerland,Neuenburgersee,Chevroux ,1449,High Views
