Boat Type,Manufacturer,Specifications,Year Built,Length,Width,Material,Price,Currency,Country,State_Region,Location,Number of views last 7 days
Motor Yacht,Bayliner Power Boats,"Used Boat, Unleaded",1992,7.7,2.46,Plastic,14900,CHF,Switzerland,Le Landeron ,,3263
Hardtop,Princess Power Boats,"Used Boat, Diesel",1979,11.12,3.88,GRP,35000,CHF,Switzerland,Neuenburgersee,Hauterive,2432
"Bowrider,Motor Yacht,Sport Boat",Windy Power Boats,"Used Boat, Diesel",2002,12.35,3.48,GRP,125900,CHF,Switzerland,Lago Maggiore,6600 Locarno ,2261
Hardtop,Pershing Power Boats,"Used Boat, Diesel",2009,20.3,5.2,GRP,949000,EUR,Germany,Baltic Sea,Neustadt In Holstein,2154
Sport Boat,Sea Ray Power Boats,"Used Boat, Unleaded",1993,6.14,2.34,Plastic,19900,CHF,Switzerland,Murtensee,Avenches,2026
Cabin Boat,Viper Power Boats,"Used Boat, Unleaded",2014,6.65,2.3,GRP,48500,CHF,Switzerland,Horn ,,1970
"Sport Boat,Wakeboard/Wakesurf,Water Ski",Tullio Abbate Power Boats,"Used Boat, Unleaded",1980,6,2.1,GRP,4999,CHF,Switzerland,Lake Of Zurich,Rafz,1917
Sport Boat,Correct Craft Power Boats,"Used Boat, Unleaded",2005,6.4,2.31,GRP,36000,CHF,Switzerland,Lago Maggiore,Ticino,1834
Sport Boat,Baha Power Boats,"Used Boat, Unleaded",1995,6.8,2.38,GRP,6500,CHF,Switzerland,Thun,,1831
Cabin Boat,Draco Power Boats,"Used Boat, Unleaded",1980,6.2,2.45,GRP,3800,CHF,Switzerland,Walensee,Walenstadt,1804
"Hardtop,Motor Yacht",Bénéteau Power Boats,"Used Boat, Diesel",2016,13.15,3.96,GRP,350000,CHF,Switzerland,Lake Geneva,Vevey ,1780
Sport Boat,Bavaria Power Boats,"New Boat From Stock, Unleaded",2020,9.31,2.99,GRP,159359,CHF,Switzerland,Lake Constance,Romanshorn,1710
Hardtop,Bénéteau Power Boats,"Display Model, Diesel",2019,3.35,9.95,GRP,209000,EUR,Germany,Baden-Württemberg,Mannheim ,1700
Motor Yacht,De Boarnstream Power Boats,"Used Boat, Diesel",2006,10.7,3.65,Steel,139000,EUR,Germany,Mosel,Rheinland Pfalz,1621
Hardtop,Princess Power Boats,"Used Boat, Diesel",2010,13.86,3.98,GRP,339000,EUR,Croatia,Krk,,1461
"Cabin Boat,House Boat",,"Used Boat, Diesel",1977,11.7,3.25,Steel,65000,CHF,Switzerland,Neuenburgersee,Chevroux ,1449
Fishing Boat,Smartliner Power Boats,New Boat On Order,2020,6.28,2.24,GRP,26800,CHF,Switzerland,Lake Geneva,Romanel,1430
Cabin Boat,Stama Power Boats,"Used Boat, Diesel",2009,12,3.6,Plastic,119000,CHF,Switzerland,Murtensee,Vallamand,1414
Cabin Boat,Fairline Power Boats,"Used Boat, Unleaded",1990,10.04,3.42,GRP,55000,CHF,Switzerland,Altendorf,,1386
Sport Boat,Viper Power Boats,"Used Boat, Unleaded",2007,7.25,2.57,GRP,37000,EUR,Germany,Berlin,Werder-Havel,1351
Motor Yacht,Windy Power Boats,"Used Boat, Unleaded",1994,9.9,3.45,GRP,95000,CHF,Switzerland,Solothurn ,,1319
Cabin Boat,Princess Power Boats,Used Boat,1974,7.2,2.7,GRP,5000,CHF,Switzerland,Rhein,Möhlin,1299
Pilothouse,Jeanneau Power Boats,New Boat From Stock,2020,6.19,2.46,GRP,37625,CHF,Switzerland,Lake Constance,Uttwil,1272
"Cabin Boat,Classic",,"Used Boat, Diesel",1936,10.2,2.2,Wood,60000,CHF,Switzerland,Versoix ,Lake Geneva,1236
