Variable A,Variable B,Corr. Coefficient
Year Built,Year Built,1
Year Built,Length,-0.202200793
Year Built,Width,-0.104667789
Year Built,Price,0.106813223
Year Built,# of views last 7 days,-0.113485353
Length,Year Built,-0.202200793
Length,Length,1
Length,Width,0.873093371
Length,Price,0.544830553
Length,# of views last 7 days,-0.135001692
Width,Year Built,-0.104667789
Width,Length,0.873093371
Width,Width,1
Width,Price,0.505381714
Width,# of views last 7 days,-0.157531911
Price,Year Built,0.106813223
Price,Length,0.544830553
Price,Width,0.505381714
Price,Price,1
Price,# of views last 7 days,-0.013852624
# of views last 7 days,Year Built,-0.113485353
# of views last 7 days,Length,-0.135001692
# of views last 7 days,Width,-0.157531911
# of views last 7 days,Price,-0.013852624
# of views last 7 days,# of views last 7 days,1
