Location,count
,5665
Jachtmakelaardij de Maas,316
Toscana,179
DD-Yachting,125
Campania,111
Mallorca,97
Liguria,74
Sardinia,67
Hamburg,65
"Boote Pfister Gmbh, Schwebheim, Schweinfurt",59
Ab Werft,56
Veneto,56
Lazio,52
Kiel,49
Horw,40
BrauckmannBoote GmbH - Verkaufshafen,40
Gottlieben ,31
Grevenbroich,29
Hannover,29
Aprilia Marittima Di Latisa,29
Concise ,27
Ancona,26
Palma,25
Stansstad,25
Nautica Zabeo Marghera,24
Vilamoura,24
Boote Pfister Gmbh,23
Roma,23
South of France,23
Moniga Del Garda (Bs),22
Topyacht,21
Konstanz,21
Laboe Bei Kiel,21
Altendorf ,20
"Treis-Karden, Bootsservice Enk",20
Bootscenter Keser Berlin,19
Uttwil,19
Mittelmeer Mallorca,18
Erftstadt,18
Cap D'Agde,18
Allensbach Am Bodensee,18
Soiano Del Lago,17
Lake Constance,17
Moniga Del Garda ,17
Berlin,16
Alpnachstad ,16
Palma De Mallorca,16
Bestboats International Yachtbroker Roermond,15
Lindau/Bodensee,15
Liblar,15
Modena,15
Bcm Yachtsales GmbH,15
Konstanz-Dettingen,15
Romanshorn,14
Ausstellungshalle ,14
Les Sables Olonne,14
Moniga Del Garda,14
Ostsee,13
Neustadt,13
"Le Landeron, Neuchâtel",13
Lago Di Garda,13
Augsburg,13
Goldach ,13
Dettingen,12
Werder-Havel,12
Verkaufslager Nw Altnau,12
Lucerne ,12
"Le Landeron, Neuchâtel ",12
Hollandboot Berlin,12
Bootscenter Keser Gmbh,12
Les Marines De Cogolin,11
Beckenried ,11
Worms,11
Calvia / Mallorca,10
Nieuwpoort,10
Lucerne,10
Überlingen,10
"Palma De Mallorca, Espagne",10
Riazzino / Locarno ,9
Ijsseldelta Marina Hattem,9
Faoug ,9
Wesel,9
Ostsee / Deutschland,9
Villa Vicentina,9
Le Bouveret ,9
Munich,9
Wsc Hopp GmbH Mönchengladbach,9
Mallorca ,9
Locarno,9
Palma De Mallorca ,8
Calpe,8
Flensburg,8
Lombardia,8
Taufkirchen,8
Hauterive,8
Baltic Sea,8
Lausanne ,8
Romanshorn ,8
Zuiderzee op Zuid,8
Bratislava,8
Locarno ,8
"Lelystad, Nederland",8
Andratx ,8
Caslano,8
3421 Lyssach,8
"Bestboats, Roermond",7
Palma ,7
Alpnachstad,7
Marina Lepanto - Monfalcone Go ,7
Bioggio-Lugano,7
Le Bouveret,7
Zürich,7
Marine Solutions Ag,7
Romanel,7
Lausanne,7
Göcek,7
Yvonand,7
Cala D´Or ,7
Lake Geneva,7
Caslano ,7
Kressbronn,6
Mannheim ,6
Gustow,6
Tirreno,6
In Our Exhibition,6
Schweinfurt,6
Reese Marin ApS,6
Sea Ray Berlin,6
Zehdenick,6
Alicante,6
"Boote Jochum, Munich",6
Einigen ,6
Kilchberg,6
Saal A. D. Donau,6
Lignano Sabbiadoro ,6
Meinier ,6
Bodensee,6
Dénia,6
Genève,6
Budenheim-Mainz,5
Sicilia,5
Ausstellung Nasbo-Werft,5
"Motorboote Kainz, Passau",5
Stäfa,5
Rab Marina,5
Marina Lepanto - Monfalcone Go,5
Müritz,5
Agno ,5
Ostsee Finnland,5
Jona,5
Köpenick,5
Quartino,5
Wohlenschwil,5
Zehdenick ,5
Emden,5
Vesenaz,5
Adriatic Sea,5
Cherbourg-Octeville,5
Gaienhofen-Horn,5
D-Marin Dalmacija Marina,5
Neuheim,5
Bioggio,5
Cala D' Or ,5
Lake Brienz,5
Verbania ,5
Boote Jochum,5
Searay Berlin,5
Portalban ,5
Faoug,5
Quartino ,4
Info Boote Riedl,4
Fa. Siegel Gmbh,4
Grömitz,4
Gwatt (Thun),4
Altnau,4
Bäch ,4
Scheepsmakelaardij Goliath,4
Horgen,4
Bottighofen,4
Meilen ,4
Étables-sur-Mer,4
Lago Maggiore,4
