Specifications,count
"Used Boat, Diesel",4140
"Used Boat, Unleaded",1686
Used Boat,1462
"New Boat From Stock, Unleaded",1106
New Boat From Stock,665
"New Boat From Stock, Diesel",291
"New Boat On Order, Unleaded",150
"Display Model, Unleaded",75
"New Boat On Order, Diesel",61
New Boat On Order,61
Diesel,57
"Used Boat, Electric",27
Unleaded,22
"Display Model, Diesel",19
Display Model,18
"New Boat From Stock, Electric",18
"Used Boat, Gas",10
,6
"Display Model, Electric",6
"New Boat From Stock, Gas",2
"New Boat From Stock, Hybrid",1
"New Boat From Stock,  Unleaded",1
"Used Boat, Propane",1
Electric,1
"Used Boat, Hybrid",1
"Display Model, Gas",1
