State_Region,count
,1061
Alem,316
Lake Constance,243
Mallorca,231
Toscana,194
Bayern,175
Viewing by Appointment Only,163
Friuli-Venezia Giulia,160
Berlin,145
Lake Of Zurich,129
Hamm,125
Mar Tirreno,124
Lake Lucerne,121
Baden-Württemberg,118
Campania,117
Onbekend,117
Lake Geneva,106
North Rhine-Westphalia,105
Brandenburg An Der Havel,96
Liguria,95
Lazio,85
Aprilia Marittima,84
Lombardy,82
Lago Maggiore,81
Veneto,80
Sardinia,80
Neuenburgersee,78
Adriatic Sea,76
Hamburg,74
Svendborg,73
Alicante,71
Bielersee,64
Ostsee,59
Split,55
Dalmatia,55
Lisbon,54
North Adriatic,54
Lake Garda,53
Mandelieu-la-Napoule,52
Kieler Bucht Mit Fehmarn,50
La Grande Motte,49
Bönningstedt,47
Luganersee,45
Lower Saxony,44
La Rochelle,44
Kvarner,43
Lincoln,42
Istria,41
Pornichet,40
Murtensee,40
St. Julians,38
French Riviera,34
Novigrad,34
Ibiza,33
Seget,33
Lorient,33
Neukirchen-Vluyn,31
Agde,31
Schwebheim,30
Algarve,30
Hock Boote,30
Mosel,29
Rhein,29
Schleswig-Holstein,28
St. Cyprien,27
Brest,27
Umbria,26
Thunersee,26
Zadar,25
Venice,24
Lübecker Bucht,24
Antibes,24
Granville,24
Swanwick,23
Arzon,22
Stansstad,22
Costa Blanca,22
Trebur,22
Sibenik,21
Baleares,21
Linz,21
Sneek,21
Valencia,21
Mecklenburg-Vorpommern,21
Alpnach,21
Palma,21
Dubai & Vae,21
Dienville,21
Les Sables-d'Olonne,21
Rostock,21
Poole,20
Krk,20
Parchal,20
Rotterdam,20
Barcelona,19
Lago,19
Gelderland,19
Lemmer,19
Rheinland-Pfalz,19
Canet-en-Roussillon,19
Athens,19
Bormes Les Mimosas,19
Bouveret,18
Mediterranean Sea,18
Munich,18
Walensee,18
Marseille,18
Ajaccio,18
Moniga Del Garda ,17
Amsterdam,17
Southampton,17
Denia,16
Balearic Islands,16
Port Leucate,16
Trogir,16
Emilia Romagna,16
Münster,16
Zugersee,15
Erftstadt,15
Martigues,15
Cogolin,15
Schweich,15
Potsdam,15
Tirreno,15
Safenwil,15
Murcia,14
St. Quay-Portrieux,14
St. Gilles-Croix-De-Vie,14
Mare Adriatico,14
Burton Waters,14
Puglia,14
Dormelletto ,14
Benodet,13
Menton,13
Traben-Trarbach,13
Roermond,13
Holstein,13
Wörthersee,13
Gummersbach,13
Marmaris,12
Gersthofen,12
St. Malo,12
Lampertheim,12
Dubrovnik,12
Kiel,12
Beaulieu-Sur-Mer,12
Bodrum,11
Catalonia,11
Konstanz,11
Maó-Mahón,11
Flevoland,11
Flensburg,11
Malta,10
Donau,10
Porticcio,10
Chatham,10
Mar Ligure,10
Ghent,10
Deauville,10
Arcachon,10
Costa Brava,10
Limburg,10
Grou,10
Ljubljana,10
Paca,10
Leeuwarden,10
Pluneret,10
Propriano,10
Sicilia,10
Slovakia,9
Southern Turkey,9
Chalon-Sur-Saône,9
Huelva,9
Cuxhaven,9
Ligurien,9
Monaco,8
Torrevieja,8
Southhampton,8
Turku,8
Fethiye,8
Calabria,8
Cavalaire,8
Rovinj,8
Capbreton,8
Warszawa,8
Istanbul,8
Biddinghu,8
Grevenbroich,8
Metropolitan City of Naples,8
Burnham-On-Crouch,8
Matignon,8
Sukosan,8
Werder-Havel,7
Hendaye,7
Griechenland,7
Aabenraa,7
Rab,7
Im Vorlauf,7
Geneva,7
La Spezia,7
La Seyne-Sur-Mer,7
La Forêt-Fouesnant,7
Dordrecht,7
Drimmelen,7
Reifnitz Am Wörthersee,7
Tyrrhenian Sea,7
Moscow,7
Portimão,7
Pornic,7
Müritz,7
Lake Iseo,6
Le Cap D'Agde,6
Østjylland,6
Bourgondie,6
Viewing by Appointment Only ,6
Bruges,6
Andernos Les Bains,6
Stadtprozelten,6
Franeker,6
Trebur Holland,6
Wiener Neustadt,6
St. Jean-De-Losne,6
Diessenhofen,6
